PLAYER_NAME,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POS,FG%,FT%,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_3PM,z_FG%,z_FT%,z_TOV,fantasy_z_9cat,Total_PTS,PTS_roll2,PTS_delta,REB_roll2,REB_delta,AST_roll2,AST_delta,STL_roll2,STL_delta,BLK_roll2,BLK_delta,FG3M_roll2,FG3M_delta,FG%_roll2,FG%_delta,FT%_roll2,FT%_delta,TOV_roll2,TOV_delta,GP_roll2,GP_delta,MIN_roll2,MIN_delta,next_fantasy_z_9cat,delta_fantasy,AGE_sq,PTS_per36,REB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,sample_weight_norm,AGE_squared,target_delta
Aaron Nesmith,1630174,2022-23,0,1610612754,IND,23,73,60,24.87671233,3.452054795,8.082191781,1.575342466,4.301369863,0.366,1.630136986,1.945205479,0.849315068,2.945205479,3.794520548,1.342465753,0.753424658,0.465753425,1.02739726,3.219178082,10.10958904,Guard-Forward,0.465430199,0.756343611,-0.114925055,-0.166072565,-0.573329018,0.058939254,0.008602445,0.396140419,-0.639320059,0.445279802,0.29421361,-0.290471166,737.9999999199999,,,,,,,,,,,,,,,,,,,,,,,2.237864,2.528335166,529,14.629955944825607,5.49118942711993,1.9427312768222214,1.0903083706640266,0.6740088110348784,1.4867841404990032,0.939141591786232,529,2.528335166
Aaron Nesmith,1630174,2023-24,0,1610612754,IND,24,72,47,27.70833333,4.375,8.819444444,1.944444444,4.638888889,0.419,1.486111111,1.902777778,0.875,2.944444444,3.819444444,1.5,0.902777778,0.680555556,0.888888889,3.347222222,12.18055556,Guard-Forward,0.470762049,0.754187217,0.196891547,-0.155738627,-0.493205437,0.454110101,0.542227899,0.794183284,0.440306729,-9.42e-05,0.459182688,2.237864,877.00000032,10.10958904,2.0709665200000007,3.794520548,0.024923896000000223,1.342465753,0.15753424700000007,0.753424658,0.14935312,0.465753425,0.21480213099999995,1.575342466,0.369101978,0.465430199,0.005331850000000027,0.756343611,-0.002156394000000006,1.02739726,-0.13850837100000013,73.0,-1.0,24.87671233,2.8316209999999984,2.100385847,-0.137478153,576,15.8255639174527,4.962406015057132,1.9488721806855787,1.1729323312568942,0.8842105269996042,1.1548872183284074,0.9333881287315899,576,-0.137478153
Aaron Wiggins,1630598,2021-22,0,1610612760,OKC,23,50,35,24.18,3.12,6.74,0.84,2.76,0.304,1.24,1.7,1.02,2.54,3.56,1.36,0.6,0.2,1.08,1.86,8.32,Guard,0.468186623,0.752372187,-0.384375851,-0.263309397,-0.564410915,-0.347004404,-0.651599533,-0.396859453,-0.081181802,-0.37496404,0.231561618,-2.832143777,416.0,,,,,,,,,,,,,,,,,,,,,,,-2.302548755,0.5295950220000001,529,12.38709677419355,5.300248138957817,2.0248138957816377,0.8933002481389578,0.2977667493796526,1.6079404466501241,0.7948272134792702,529,0.5295950220000001
Aaron Wiggins,1630598,2022-23,0,1610612760,OKC,24,70,14,18.52857143,2.657142857,5.185714286,0.685714286,1.742857143,0.393,0.842857143,1.014285714,0.971428571,2.028571429,3.0,1.142857143,0.557142857,0.214285714,0.785714286,1.571428571,6.842857143,Guard,0.470678991,0.75471435,-0.606782956,-0.495496413,-0.674852065,-0.46039938,-0.61611003,-0.563242543,0.423488691,0.108778123,0.582067818,-2.302548755,479.00000001,8.32,-1.4771428570000005,3.56,-0.56,1.36,-0.21714285700000002,0.6,-0.042857142999999986,0.2,0.014285713999999977,0.84,-0.15428571400000002,0.468186623,0.002492367999999967,0.752372187,0.002342163000000008,1.08,-0.29428571400000003,50.0,20.0,24.18,-5.65142857,-1.614189117,0.6883596380000001,576,13.295296838111389,5.828835774415664,2.220508866721626,1.082498072113917,0.41634541190313445,1.5265998462354202,0.9217600666696997,576,0.6883596380000001
Aaron Wiggins,1630598,2023-24,0,1610612760,OKC,25,78,4,15.74358974,2.717948718,4.833333333,0.794871795,1.615384615,0.492,0.717948718,0.91025641,0.769230769,1.615384615,2.384615385,1.102564103,0.717948718,0.243589744,0.717948718,1.166666667,6.948717949,Guard,0.472845343,0.753807525,-0.590843945,-0.750646981,-0.695345531,-0.034925923,-0.543311051,-0.445526112,0.862145473,-0.078514401,0.662779353,-1.614189117,542.000000022,7.5814285715,0.10586080599999992,3.2800000000000002,-0.615384615,1.2514285715,-0.04029304000000011,0.5785714285,0.16080586100000005,0.207142857,0.02930403000000001,0.762857143,0.1091575090000001,0.469432807,0.0021663519999999825,0.7535432685,-0.0009068249999999445,0.9328571430000001,-0.067765568,60.0,8.0,21.354285715,-2.7849816899999986,0.748217961,2.362407078,625,15.889250818600154,5.4527687317644755,2.5211726400080847,1.64169381156651,0.5570032583941049,1.64169381156651,0.9673352756246587,625,2.362407078
Abdel Nader,1627846,2020-21,0,1610612756,PHX,27,24,0,14.79166667,2.375,4.833333333,0.75,1.791666667,0.419,1.166666667,1.541666667,0.291666667,2.291666667,2.583333333,0.791666667,0.416666667,0.375,0.791666667,1.416666667,6.666666667,Forward,0.469571893,0.753281495,-0.633311205,-0.66825461,-0.853471249,-0.832082911,-0.216853127,-0.493916255,0.19931652,-0.18715871,0.574978291,-3.110753257,160.000000008,,,,,,,,,,,,,,,,,,,,,,,-5.773550151,-2.6627968940000004,729,16.225352109830908,6.287323941433843,1.9267605637573497,1.014084507624995,0.9126760561323547,1.9267605637573497,0.5820117275381973,729,-2.6627968940000004
Abdel Nader,1627846,2021-22,0,1610612756,PHX,28,14,0,10.35714286,0.857142857,2.5,0.285714286,1.0,0.286,0.428571429,0.714285714,0.285714286,1.642857143,1.928571429,0.5,0.571428571,0.285714286,0.785714286,1.428571429,2.428571429,Forward,0.465474343,0.751009562,-1.271423144,-0.939731776,-1.001815995,-0.422601054,-0.438662518,-0.994606109,-0.630381537,-0.656395836,0.582067818,-5.773550151,34.00000000599999,6.666666667,-4.2380952380000005,2.583333333,-0.6547619040000001,0.791666667,-0.291666667,0.416666667,0.154761904,0.375,-0.08928571400000002,0.75,-0.464285714,0.469571893,-0.004097550000000005,0.753281495,-0.0022719329999999482,0.791666667,-0.005952380999999951,24.0,-10.0,14.79166667,-4.43452381,,,784,8.441379309505825,6.703448275502497,1.7379310340033294,1.9862068945141498,0.9931034489950059,2.7310344829983353,0.4686203604088053,784,
Al Horford,201143,2020-21,0,1610612760,OKC,35,28,28,27.92857143,5.785714286,12.85714286,2.0,5.428571429,0.368,0.642857143,0.785714286,1.035714286,5.678571429,6.714285714,3.357142857,0.892857143,0.928571429,1.035714286,1.714285714,14.21428571,Forward-Center,0.466424482,0.754169886,0.50310163,1.044519509,0.451357026,0.427861264,1.158365095,0.85409489,-0.437991267,-0.003673608,0.284307696,4.281942238,397.99999988,,,,,,,,,,,,,,,,,,,,,,,4.631201271,0.34925903300000005,1225,18.322250632924693,8.654731456989527,4.3273657284947635,1.1508951407902355,1.1969309467827656,1.3350383634713532,0.6204701092896713,1225,0.34925903300000005
Al Horford,201143,2021-22,0,1610612738,BOS,36,69,69,29.05797101,3.855072464,8.246376812,1.289855072,3.84057971,0.336,1.15942029,1.376811594,1.565217391,6.115942029,7.68115942,3.362318841,0.710144928,1.333333333,0.942028986,1.884057971,10.15942029,Forward-Center,0.468419171,0.75554742,-0.107422176,1.445404368,0.453989586,-0.055573838,2.163901,0.088268268,-0.034093967,0.280837349,0.395890682,4.631201271,701.00000001,14.21428571,-4.0548654200000005,6.714285714,0.9668737060000003,3.357142857,0.005175984000000078,0.892857143,-0.182712215,0.928571429,0.4047619039999999,2.0,-0.7101449280000001,0.466424482,0.0019946890000000495,0.754169886,0.001377533999999958,1.035714286,-0.09368529999999997,28.0,41.0,27.92857143,1.1293995799999976,3.344216401,-1.28698487,1296,12.58653366796101,9.51620947742146,4.165586036077472,0.8798004994637098,1.6518703240319599,1.1670822950552595,0.9158837369311537,1296,-1.28698487
Al Horford,201143,2022-23,0,1610612738,BOS,37,63,63,30.49206349,3.619047619,7.603174603,2.301587302,5.158730159,0.446,0.238095238,0.333333333,1.158730159,5.031746032,6.19047619,3.0,0.476190476,0.968253968,0.587301587,1.920634921,9.777777778,Forward-Center,0.469063589,0.752907458,-0.164884463,0.827337777,0.269710399,-0.674589889,1.256947047,1.179329325,0.096391818,-0.264410986,0.818385375,3.344216401,616.0000000140001,12.186853,-0.3816425119999991,7.197722567,-1.4906832300000001,3.359730849,-0.362318841,0.8015010355,-0.23395445199999998,1.130952381,-0.36507936499999993,1.644927536,1.0117322300000002,0.46742182649999997,0.00064441799999998,0.754858653,-0.00263996199999994,0.9888716359999999,-0.35472739899999994,48.5,-6.0,28.49327122,1.4340924800000003,3.093632242,-0.2505841590000002,1369,11.543987507550609,7.3086933887923635,3.541905257917984,0.5622071835716225,1.1431546067530505,0.6933888596596256,0.879693845325672,1369,-0.2505841590000002
