PLAYER_NAME,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POS,fg_shrunk,ft_shrunk,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_FG3M,z_FG%,z_FT%,z_TOV,fantasy_z_9cat,Rk,TEAM_ABBREVIATION ,3PA,3P%,2P,2PA,2P%,eFG%
Aaron Holiday,1628988,2023-24,0,1610612745,HOU,27,78,1,16.26923077,2.384615385,5.346153846,0.446,1.076923077,2.782051282,0.387,0.743589744,0.807692308,0.921,0.294871795,1.282051282,1.576923077,1.794871795,0.538461538,0.076923077,0.679487179,1.602564103,6.58974359,Guard,0.459160283,0.751196764,-0.488677577,-0.949803188,-0.233111055,-0.359698039,-0.869714133,-0.025634765,-0.22439078,0.379490084,0.58850497,-2.183034483,,,,,,,,
Aaron Holiday,1628988,2024-25,0,1610612745,HOU,28,62,3,12.77419355,1.887096774,4.322580645,0.437,1.161290323,2.919354839,0.398,0.548387097,0.661290323,0.829,0.209677419,1.048387097,1.258064516,1.338709677,0.306451613,0.177419355,0.596774194,1.032258065,5.483870968,Guard,0.458916494,0.749505172,-0.655461458,-1.081216056,-0.472633818,-0.956016992,-0.624443121,0.067484149,-0.274475714,0.014133129,0.688088827,-3.294541053,,,,,,,,
Aaron Nesmith,1630174,2022-23,0,1610612754,IND,23,73,60,24.87671233,3.452054795,8.082191781,0.427,1.575342466,4.301369863,0.366,1.630136986,1.945205479,0.838,0.849315068,2.945205479,3.794520548,1.342465753,0.753424658,0.465753425,1.02739726,3.219178082,10.10958904,Guard-Forward,0.457406352,0.751807049,0.042173332,-0.035852993,-0.470661568,0.192806697,0.079264424,0.524487165,-0.584724719,0.51130185,0.169632071,0.428426258,,,,,,,,
Aaron Nesmith,1630174,2023-24,0,1610612754,IND,24,72,47,27.70833333,4.375,8.819444444,0.496,1.944444444,4.638888889,0.419,1.486111111,1.902777778,0.781,0.875,2.944444444,3.819444444,1.5,0.902777778,0.680555556,0.888888889,3.347222222,12.18055556,Guard-Forward,0.462792563,0.749646947,0.354509334,-0.025580976,-0.387943086,0.57667862,0.603510068,0.9318772,0.521838182,0.044754195,0.336391835,2.956035373,,,,,,,,
Aaron Nesmith,1630174,2024-25,0,1610612754,IND,25,45,37,24.93333333,4.266666667,8.422222222,0.507,1.866666667,4.333333333,0.431,1.622222222,1.777777778,0.912,0.822222222,3.133333333,3.955555556,1.2,0.777777778,0.377777778,0.822222222,2.533333333,12.02222222,Guard-Forward,0.463525381,0.754069109,0.330630048,0.030515218,-0.545467847,0.255399825,-0.135448761,0.846031301,0.672390908,0.999870892,0.416656425,2.870578008,,,,,,,,
Aaron Wiggins,1630598,2021-22,0,1610612760,OKC,23,50,35,24.18,3.12,6.74,0.463,0.84,2.76,0.304,1.24,1.7,0.729,1.02,2.54,3.56,1.36,0.6,0.2,1.08,1.86,8.32,Guard,0.460061881,0.747814109,-0.227726294,-0.132507189,-0.461454641,-0.201530016,-0.569332845,-0.287134584,-0.039163154,-0.351109523,0.106300011,-2.163658235,,,,,,,,
Aaron Wiggins,1630598,2022-23,0,1610612760,OKC,24,70,14,18.52857143,2.657142857,5.185714286,0.512,0.685714286,1.742857143,0.393,0.842857143,1.014285714,0.831,0.971428571,2.028571429,3,1.142857143,0.557142857,0.214285714,0.785714286,1.571428571,6.842857143,Guard,0.462434193,0.750095004,-0.450503867,-0.363302956,-0.575472563,-0.311682746,-0.53446716,-0.457424819,0.448213278,0.141527534,0.460610843,-1.642502457,,,,,,,,
Aaron Wiggins,1630598,2023-24,0,1610612760,OKC,25,78,4,15.74358974,2.717948718,4.833333333,0.562,0.794871795,1.615384615,0.492,0.717948718,0.91025641,0.789,0.769230769,1.615384615,2.384615385,1.102564103,0.717948718,0.243589744,0.717948718,1.166666667,6.948717949,Guard,0.464572832,0.74917874,-0.434538306,-0.616924678,-0.596629735,0.101625359,-0.462947804,-0.336944074,0.887583022,-0.056370997,0.542198475,-0.972948737,,,,,,,,
Aaron Wiggins,1630598,2024-25,0,1610612760,OKC,26,76,26,22.94736842,4.671052632,9.578947368,0.488,1.710526316,4.460526316,0.383,0.973684211,1.171052632,0.831,1.065789474,2.815789474,3.881578947,1.763157895,0.789473684,0.236842105,0.907894737,1.328947368,12.02631579,Guard,0.4623234,0.750342864,0.331247426,2.68E-05,-0.249763471,0.285460998,-0.479416078,0.673694042,0.425451534,0.195061218,0.313509386,1.495271901,,,,,,,,
Abdel Nader,1627846,2020-21,0,1610612756,PHX,27,24,0,14.79166667,2.375,4.833333333,0.491,0.75,1.791666667,0.419,1.166666667,1.541666667,0.757,0.291666667,2.291666667,2.583333333,0.791666667,0.416666667,0.375,0.791666667,1.416666667,6.666666667,Forward,0.461299382,0.748709415,-0.477076305,-0.535025997,-0.759876549,-0.672738914,-0.142228201,-0.386470555,0.215073506,-0.157737673,0.453444361,-2.462636326,,,,,,,,
Frank Jackson,1628402,2022-23,0,1610612762,UTA,25,1,0,5,0,3,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,Guard,0.446469759,0.748453789,-1.482519897,-0.775438254,-0.650484354,-1.74366823,-1.057452438,-1.214270308,-2.831578375,-0.212948896,1.406586365,-8.561774388,,,,,,,,
Al Horford,201143,2020-21,0,1610612760,OKC,35,28,28,27.92857143,5.785714286,12.85714286,0.45,2,5.428571429,0.368,0.642857143,0.785714286,0.818,1.035714286,5.678571429,6.714285714,3.357142857,0.892857143,0.928571429,1.035714286,1.714285714,14.21428571,Forward-Center,0.458740122,0.74952975,0.661229477,1.167485293,0.587210198,0.551180303,1.208817103,0.993195701,-0.310710189,0.019441556,0.159618631,5.037468072,,,,,,,,
Al Horford,201143,2021-22,0,1610612738,BOS,36,69,69,29.05797101,3.855072464,8.246376812,0.467,1.289855072,3.84057971,0.336,1.15942029,1.376811594,0.842,1.565217391,6.115942029,7.68115942,3.362318841,0.710144928,1.333333333,0.942028986,1.884057971,10.15942029,Forward-Center,0.460407495,0.750960669,0.049688708,1.565968076,0.589928017,0.081567821,2.196678183,0.209385306,0.031840971,0.328497277,0.272412813,5.325967172,,,,,,,,
Al Horford,201143,2022-23,0,1610612738,BOS,37,63,63,30.49206349,3.619047619,7.603174603,0.476,2.301587302,5.158730159,0.446,0.238095238,0.333333333,0.714,1.158730159,5.031746032,6.19047619,3,0.476190476,0.968253968,0.587301587,1.920634921,9.777777778,Forward-Center,0.461004022,0.748225618,-0.007869294,0.951604899,0.39968072,-0.519749013,1.305666227,1.32606756,0.154393769,-0.262230151,0.699493551,4.047058268,,,,,,,,
Al Horford,201143,2023-24,0,1610612738,BOS,38,65,33,26.76923077,3.292307692,6.446153846,0.511,1.661538462,3.969230769,0.419,0.4,0.461538462,0.867,1.261538462,5.092307692,6.353846154,2.584615385,0.584615385,0.953846154,0.738461538,1.430769231,8.646153846,Forward-Center,0.462960549,0.749538053,-0.178536899,1.018935427,0.181569513,-0.241072021,1.270502546,0.619624531,0.556349737,0.021234884,0.517501679,3.766109396,,,,,,,,
Al Horford,201143,2024-25,0,1610612738,BOS,39,60,42,27.65,3.25,7.683333333,0.423,1.9,5.233333333,0.363,0.566666667,0.633333333,0.895,1.316666667,4.833333333,6.15,2.133333333,0.6,0.85,0.766666667,1.35,8.966666667,Forward-Center,0.457233572,0.750286822,-0.130198265,0.934923232,-0.055390812,-0.201530016,1.017055833,0.882822401,-0.620221229,0.182957158,0.483543582,2.493961883,,,,,,,,
Alec Burks,202692,2020-21,0,1610612752,NYK,29,49,5,25.6122449,4.285714286,10.20408163,0.42,2.081632653,5.020408163,0.415,2.06122449,2.408163265,0.856,0.428571429,4.204081633,4.632653061,2.183673469,0.632653061,0.285714286,1,2.081632653,12.71428571,Guard,0.456172754,0.753395554,0.435004668,0.309570999,-0.028958086,-0.117604128,-0.360138733,1.083296354,-0.838159539,0.854393655,0.202617519,1.54002271,,,,,,,,
Alec Burks,202692,2021-22,0,1610612752,NYK,30,81,44,28.61728395,3.518518519,8.987654321,0.391,1.938271605,4.802469136,0.404,2.679012346,3.259259259,0.822,0.580246914,4.320987654,4.901234568,2.950617284,1.049382716,0.320987654,1.12345679,2.654320988,11.65432099,Guard,0.454185002,0.752954531,0.275144458,0.420262919,0.373750718,0.953487082,-0.274050622,0.925064034,-1.246530615,0.759139617,0.05397939,2.24024698,,,,,,,,
Alec Burks,202692,2022-23,0,1610612765,DET,31,51,8,22,3.921568627,9,0.436,1.941176471,4.68627451,0.414,3,3.68627451,0.814,0.37254902,2.725490196,3.098039216,2.235294118,0.745098039,0.156862745,1.137254902,1.921568627,12.78431373,Guard,0.457893442,0.752954405,0.445566052,-0.322897535,-0.001852985,0.171405368,-0.674613542,0.928270231,-0.484655188,0.759112551,0.037366893,0.857701846,,,,,,,,
Alec Burks,202692,2023-24,0,0,TOT,32,66,1,18.36363636,3.181818182,8.621212121,0.369,1.878787879,5,0.376,2.196969697,2.53030303,0.868,0.363636364,1.909090909,2.272727273,1.333333333,0.424242424,0.181818182,0.727272727,1.136363636,10.43939394,Guard,0.452652033,0.754212144,0.091913365,-0.663037718,-0.475456842,-0.653267473,-0.613707353,0.859409882,-1.561469491,1.030764083,0.530972659,-1.453878888,,,,,,,,
Alec Burks,202692,2024-25,0,1610612748,MIA,33,49,14,17.63265306,2.346938776,5.530612245,0.424,1.795918367,4.224489796,0.425,0.775510204,1,0.776,0.306122449,2.224489796,2.530612245,1.12244898,0.571428571,0.142857143,0.591836735,0.755102041,7.265306122,Guard,0.457984311,0.748993911,-0.386791574,-0.556754218,-0.586188533,-0.27496517,-0.708795585,0.767944067,-0.465986667,-0.096291194,0.694033374,-1.613795501,,,,,,,,
Aleksej Pokusevski,1630197,2020-21,0,1610612760,OKC,19,45,28,24.22222222,3.088888889,9.066666667,0.341,1.288888889,4.6,0.28,0.688888889,0.933333333,0.738,0.666666667,4.044444444,4.711111111,2.155555556,0.444444444,0.933333333,2.2,1.288888889,8.155555556,Forward,0.449982749,0.748262227,-0.252527235,0.341906331,-0.043722311,-0.601343628,1.220438996,0.208318898,-2.109856833,-0.254323144,-1.242145097,-2.733254024,,,,,,,,
Aleksej Pokusevski,1630197,2021-22,0,1610612760,OKC,20,61,12,20.21311475,3.049180328,7.475409836,0.408,0.93442623,3.229508197,0.289,0.573770492,0.819672131,0.7,1.196721311,4.016393443,5.213114754,2.147540984,0.639344262,0.62295082,1.540983607,1.442622951,7.606557377,Forward,0.456256482,0.747672276,-0.335325241,0.548799752,-0.047930623,-0.1004062,0.462920066,-0.182913238,-0.820958237,-0.381743194,-0.448709891,-1.306266805,,,,,,,,
Aleksej Pokusevski,1630197,2022-23,0,1610612760,OKC,21,34,25,20.61764706,3.176470588,7.323529412,0.434,1.117647059,3.058823529,0.365,0.647058824,1.029411765,0.629,1.323529412,3.352941176,4.676470588,1.882352941,0.588235294,1.264705882,1.264705882,1.705882353,8.117647059,Forward,0.458098958,0.746044058,-0.258244464,0.327629749,-0.187176233,-0.231768021,2.029186166,0.019313638,-0.442433325,-0.73341232,-0.116080117,0.407015073,,,,,,,,
Aleksej Pokusevski,1630197,2023-24,0,0,TOT,22,28,0,14.46428571,1.75,4.321428571,0.405,0.642857143,1.964285714,0.327,1.071428571,1.464285714,0.732,0.607142857,2.571428571,3.178571429,1.25,0.535714286,0.464285714,0.678571429,0.785714286,5.214285714,Forward,0.457591162,0.747985638,-0.696119373,-0.289707367,-0.51921372,-0.36675911,0.075682331,-0.504727662,-0.546756641,-0.314062017,0.589607505,-2.572056054,,,,,,,,
Alex Caruso,1627936,2020-21,0,1610612747,LAL,27,58,6,20.96551724,2.293103448,5.25862069,0.436,0.948275862,2.362068966,0.401,0.844827586,1.310344828,0.645,0.534482759,2.396551724,2.931034483,2.75862069,1.103448276,0.25862069,1.310344828,1.862068966,6.379310345,Guard,0.458671636,0.745811824,-0.52041439,-0.39172608,0.27293666,1.092448025,-0.426263308,-0.167626942,-0.324780082,-0.783571257,-0.171027986,-1.420025361,,,,,,,,
Alex Caruso,1627936,2021-22,0,1610612741,CHI,28,41,18,27.97560976,2.487804878,6.243902439,0.398,1.024390244,3.073170732,0.333,1.414634146,1.780487805,0.795,0.804878049,2.804878049,3.609756098,4.024390244,1.731707317,0.365853659,1.390243902,2.585365854,7.414634146,Guard,0.456228143,0.750054294,-0.364270438,-0.112000945,0.937570149,2.707218484,-0.164550742,-0.083616986,-0.826780235,0.13273482,-0.267223982,1.959080124,,,,,,,,
Alex Caruso,1627936,2022-23,0,1610612741,CHI,29,67,36,23.50746269,1.940298507,4.268656716,0.455,0.820895522,2.253731343,0.364,0.880597015,1.089552239,0.808,0.626865672,2.298507463,2.925373134,2.880597015,1.462686567,0.686567164,1.149253731,2.373134328,5.582089552,Guard,0.45966473,0.749723691,-0.640648471,-0.394059322,0.336984298,2.015773186,0.618181986,-0.308220827,-0.120755214,0.061329635,0.022920676,1.591505947,,,,,,,,
Alex Caruso,1627936,2023-24,0,1610612741,CHI,30,71,57,28.73239437,3.563380282,7.61971831,0.468,1.915492958,4.690140845,0.408,1.028169014,1.352112676,0.76,0.873239437,2.971830986,3.845070423,3.478873239,1.690140845,0.985915493,1.436619718,2.549295775,10.07042254,Guard,0.460439909,0.748757803,0.036266376,-0.015019606,0.651128696,2.600383076,1.348770909,0.89992249,0.03850038,-0.147286642,-0.32305902,5.089606659,,,,,,,,
Alex Caruso,1627936,2024-25,0,1610612760,OKC,31,54,3,19.27777778,2.592592593,5.814814815,0.446,1.111111111,3.148148148,0.353,0.777777778,0.944444444,0.824,0.703703704,2.240740741,2.944444444,2.537037037,1.611111111,0.555555556,0.685185185,1.888888889,7.074074074,Guard,0.459101995,0.749854318,-0.415632529,-0.386199362,0.156586953,2.397258455,0.298435322,0.012099697,-0.236365635,0.089543175,0.581644748,2.497370823,,,,,,,,
Alex Len,203458,2020-21,0,0,TOT,28,64,42,15.296875,2.671875,4.34375,0.615,0.125,0.390625,0.32,1.140625,1.8125,0.629,1.21875,2.84375,4.0625,0.765625,0.3125,1,0.859375,1.984375,6.609375,Center,0.46632205,0.744275068,-0.485716835,0.074590798,-0.773550574,-0.940471244,1.383145528,-1.076303683,1.246948893,-1.115486108,0.371925638,-1.314917587,,,,,,,,
Alex Len,203458,2021-22,0,1610612758,SAC,29,39,10,15.8974359,2.41025641,4.512820513,0.534,0.153846154,0.538461538,0.286,1.051282051,1.615384615,0.651,1.333333333,2.794871795,4.128205128,1.153846154,0.333333333,0.641025641,1.102564103,2.564102564,6.025641026,Center,0.46306502,0.745403819,-0.573753573,0.1016702,-0.569702425,-0.886924779,0.507033438,-1.044465231,0.57781272,-0.871693731,0.079133534,-2.680889847,,,,,,,,
Alex Len,203458,2022-23,0,1610612758,SAC,30,26,2,6.192307692,0.615384615,1.153846154,0.533,0,0.076923077,0,0.423076923,0.615384615,0.688,0.923076923,1.384615385,2.307692308,0.461538462,0.153846154,0.423076923,0.615384615,1.076923077,1.653846154,Center,0.460698104,0.747718788,-1.233092545,-0.648627393,-0.933221105,-1.348248175,-0.02489176,-1.214270308,0.091544911,-0.371697289,0.66568246,-5.016821203,,,,,,,,
Alex Len,203458,2023-24,0,1610612758,SAC,31,48,0,9.25,1.041666667,1.6875,0.617,0,0.0625,0,0.416666667,0.708333333,0.588,0.958333333,1.708333333,2.666666667,1.041666667,0.229166667,0.6875,0.5625,1.375,2.5,Center,0.46247152,0.746212446,-1.10547855,-0.500681389,-0.628605915,-1.154657106,0.620458664,-1.214270308,0.455881866,-0.697043275,0.729353889,-3.495042125,,,,,,,,
Alex Len,203458,2024-25,0,0,TOT,32,46,7,8.260869565,0.695652174,1.369565217,0.508,0.043478261,0.195652174,0.222,0.173913043,0.369565217,0.471,0.826086957,1.239130435,2.065217391,0.826086957,0.195652174,0.456521739,0.434782609,1.217391304,1.608695652,Center,0.460514201,0.74641809,-1.239901987,-0.748559865,-0.741803056,-1.240797073,0.05673359,-1.166281917,0.053763073,-0.652627434,0.883121649,-4.796353021,,,,,,,,
Alize Johnson,1628993,2020-21,0,1610612751,BKN,25,18,0,10.5,2.222222222,3.777777778,0.588,0.055555556,0.333333333,0.167,0.722222222,0.722222222,1,1.5,3.5,5,0.777777778,0.277777778,0.277777778,0.5,0.888888889,5.222222222,Forward,0.464528337,0.752035498,-0.694922416,0.46096764,-0.767169363,-1.029715353,-0.379508558,-1.152951808,0.878441858,0.560643292,0.804601942,-1.319612766,,,,,,,,
Alize Johnson,1628993,2021-22,0,0,TOT,26,23,0,7.260869565,0.739130435,1.695652174,0.436,0,0.173913043,0,0.304347826,0.52173913,0.583,1.217391304,1.434782609,2.652173913,0.391304348,0.217391304,0,0.52173913,0.782608696,1.782608696,Forward,0.459465951,0.746745144,-1.213673024,-0.506654364,-0.970099812,-1.184922501,-1.057452438,-1.214270308,-0.161593217,-0.581988992,0.778428707,-6.11222595,,,,,,,,
Jahlil Okafor,1626143,2024-25,0,1610612754,IND,29,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Forward-Center,0.459863852,0.748453789,-1.482519897,-1.187573552,-0.650484354,-1.74366823,-1.057452438,-1.214270308,-0.079847,-0.212948896,1.406586365,-6.222178311,,,,,,,,
